Area [m^2],Final Collector Temperature [C],Final Tank Water Temperature [C]
1.0,7.5,15.65853703362883
1.5,24.76610560482823,7.5
2.0,24.76610560482823,7.5
2.5,24.76610560482823,7.5
3.0,24.76610560482823,7.5
3.5,24.76610560482823,7.5
4.0,24.76610560482823,7.5
4.5,24.76610560482823,7.5
5.0,24.76610560482823,7.5
5.5,24.76610560482823,7.5
6.0,24.76610560482823,7.5
6.5,24.76610560482823,7.5
7.0,24.76610560482823,7.5
7.5,24.76610560482823,7.5
8.0,24.76610560482823,7.5
8.5,24.76610560482823,7.5
9.0,24.76610560482823,7.5
9.5,24.76610560482823,7.5
10.0,24.76610560482823,7.5
10.5,24.76610560482823,7.5
11.0,24.76610560482823,7.5
11.5,24.76610560482823,7.5
12.0,24.76610560482823,7.5
12.5,24.76610560482823,7.5
13.0,24.76610560482823,7.5
13.5,24.76610560482823,7.5
14.0,24.76610560482823,7.5
14.5,24.76610560482823,7.5
